Activity ID,StartDtTm,Latitude,Longitude,Incident Brief:,Incident Involved:,Level of Investigation:,IMO Classification:,USCG Classification:,Was This a Serious Marine Incident?,Was a Marine Board Convened by Commandant?
4511836,04-Jan-13,40.140075,-74.75529167,"On 1/4/13 at approx. 0738, the DINKELDIEP was backing into position to moor port side to the Kinder Morgan pier, inner berth, so as to be moored astern of the LEANDRA, also moored port side to in the outer berth. While alongside the LEANDRA, the DINKELDIEP lost power and allided with the LEANDRA. Only very minor damage: scrapes on both vessels, a broken rail course and a damaged excluder rod atop the rescue boat crane on the LEANDRA","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4556161,22-Mar-13,39.9735,-75.0895,"The TV CHARLESTON lost main engine control from the bridge while getting underway from the Kinder Morgan 179 Philadelphia Dock. When turning outbound in the main ship channel of the Delaware River, the main engine failed to start from the bridge engine order control panel. The Chief Engineer switched over to local control and started the engine. The vessel anchored at Marcus Hook Anchorage to await a technician to assess the engine order control panel and associated systems to determine the cause of the casualty. Company technicians, service technicians and ABS Surveyor determined the cause of the temporary loss of main engine control arose from loose plugs and wires in most of the control boxes associated with engine starting.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4591116,12-May-13,39.9,-75.13166667,M/V RIO THELON lost generator power due to fuel starvation when the fuel filters on the generators became clogged upon switching fuel type from regular diesel fuel to low sulfur fuel oil.,"Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4600270,10-Apr-13,39.30316667,-75.37266667,"At 0604 Local time April 10, 2013, the agent for the M/V Santa Maria called Sec Del Bay Command Center to notify of a steering gear casualty nearby Ship John Shoal Lt. The vessel immediately proceeded to Bombay Hook Anchorage. An inspection found oil leakage on the stuffing box of steering gear hydraulic cylinder #1 due to 4 broken/cut stud bolts. Crew stopped hydraulic pump #1, dropped anchor, and replaced broken bolts. 10APR13 - Safety Captain of the Port (COTP) Order 053-13 was issued to the M/V Santa Maria for a marine casualty for steering gear casualty. The vessel must have 01 tug escort to berth and remain at berth until a satisfactory report from the attending Classification Society prior to departure. 11APR13 - Safety COTP order 053-13 issued to the M/V SANTA MARIA for marine casualty for steering gear casualty was lifted following satisfaction of Order requirements.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4640725,26-Jun-13,39.275,-75.35166667,SDB rcvd a phone call from the VSL Santa Catharina saying they lost power due to accidental shut down of a generator.,"Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4732064,05-Oct-13,39.655139,-75.54620017,"On 10/5/2013 the tow vessel OSG HORIZON was underway down bound on the Delaware River pushing the tank barge OSG 351 ahead enroute Bigstone Anchorage from Fort Mifflin, Philadelphia, PA. At approx. 1710, the starboard MDE shutdown on its own. Port MDE remained on line. Vessel proceeded to Bigstone Anchorage and anchored while trouble shooting the problem.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4738482,09-Oct-13,36.29947833,-73.66840667,"On 10/9/13 , the HORIZON NAVIGATOR was underway on a voyage from San Juan, Puerto Rico enroute Philadelphia, PA. At 1335, the steam turbo generator lost lube oil pressure and shut down. Engineers made adjustments to lube oil pressure settings, cleaned lube oil strainer, and restarted generator.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4751322,22-May-13,40.04115,-74.98428,Received call from vsl Master that the governor to the fuel rack prevented it from operating from the bridge. Engine being controlled by local engine side control. They had a tug along side and are proceeding to Mantua Anchorage to affect repairs. Technician onboard.,"Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4763522,14-Nov-13,39.79666667,-75.035,Sector Delaware Bay received an email from the agent of the M/V FRASERBORG that the vessel had a engine failure within AOR. Routed casualty within the Prevention Department. MSD Lewes attended the vessel to conduct PI Safety exam and casualty investigation.,"Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4783091,13-Jan-14,39.72194,-75.52943,"The M/V DOLE CHILE, a refrigerated cargo container ship, experienced a reduction of maneuverability when the vessel was unable to go astern as it was maneuvering to complete her turn in the turning basin of the Christiana River. Prior to getting underway, engineers on the vessel had removed and replaced a damaged distributor shaft and gearing on the auxiliary drive unit (Specifically shown in pictures 4 & 5) with a new shaft and associated gearing. (The damaged parts were not a part of this casualty). Engine tests ahead and astern were completed successfully. The vessel then prepared to get underway from the Port of Wilmington, Berth 5 and performed successful bridge controls and steering gear tests per navigation regulations. The vessel then began maneuvering with tugs away from the berth and out to the turning basin. Once in the basin, the vessel began to complete a turn when the command for astern propulsion was given on the bridge. The vessel did not respond. The vessel, still with tug assist, returned to Berth 5 and investigated the problem. The cause of the vessel failing to respond to commands to go astern turned out to be a misalignment of the new distributor shaft in the auxiliary drive unit. When the Chief Engineer inserted the new distributor shaft, he lined up the position marks as indicated by the manual although these marks did not correspond with the position of the old distributor shaft. This caused the malfunction of the auxiliary unit to change the direction of the main diesel engine. When the Chief Engineer removed the distributor shaft and reset it to the position in which the old distributor shaft was aligned, the auxiliary drive unit functioned properly. At some point in the unit's history, the position of the distributor shaft was altered slightly, perhaps due to metal expansion, contraction or distortion. No one knew specifics of why the position was altered. But the alteration was not communicated to subsequent engineering crew members and thus when a new distributor shaft was put in place according to the manual for the auxiliary drive unit, it was in the wrong position and caused the casualty.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
